inventory_id,venue_id,supplier_id,item_name,category,unit_of_measure,quantity_on_hand,reorder_point,unit_cost,last_restock_date,expiration_date,created_at,updated_at
INV001,V001,SUP001,Beef Hot Dogs (case),protein,case,45,20,48.00,2024-09-05,2024-10-05,2024-01-01 00:00:00,2024-09-06 08:00:00
INV002,V001,SUP003,Hot Dog Buns (case),bakery,case,50,25,18.00,2024-09-05,2024-09-12,2024-01-01 00:00:00,2024-09-06 08:00:00
INV003,V001,SUP002,Draft Beer Keg - Domestic,beverages,keg,12,5,120.00,2024-09-04,2024-11-04,2024-01-01 00:00:00,2024-09-05 08:00:00
INV004,V001,SUP004,Nacho Cheese Sauce (gal),produce,gallon,20,10,12.50,2024-09-05,2024-09-19,2024-01-01 00:00:00,2024-09-06 08:00:00
INV005,V002,SUP001,Ground Beef (case),protein,case,30,15,85.00,2024-06-13,2024-06-27,2024-01-01 00:00:00,2024-06-14 08:00:00
INV006,V002,SUP003,Burger Buns (case),bakery,case,40,20,22.00,2024-06-13,2024-06-20,2024-01-01 00:00:00,2024-06-14 08:00:00
INV007,V002,SUP006,Craft IPA Keg,beverages,keg,8,3,180.00,2024-06-12,2024-08-12,2024-01-01 00:00:00,2024-06-13 08:00:00
INV008,V003,SUP001,Italian Beef (case),protein,case,25,12,95.00,2024-11-14,2024-11-28,2024-01-01 00:00:00,2024-11-15 08:00:00
INV009,V003,SUP005,Paper Trays (case),supplies,case,100,40,32.00,2024-11-10,2025-11-10,2024-01-01 00:00:00,2024-11-11 08:00:00
INV010,V007,SUP002,Bourbon (case),beverages,case,15,8,240.00,2024-04-30,2026-04-30,2024-01-01 00:00:00,2024-05-01 08:00:00
INV011,V004,SUP004,Fresh Vegetables (case),produce,case,18,10,45.00,2024-06-20,2024-06-27,2024-01-01 00:00:00,2024-06-21 08:00:00
INV012,V006,SUP005,Popcorn Kernels (bag),supplies,bag,60,25,8.50,2024-10-25,2025-06-25,2024-01-01 00:00:00,2024-10-26 08:00:00
